product_id,review_date,count
B00003TL7P,2005-04-07,2
B000047CLX,2011-12-04,1
B00004D3ES,2005-04-07,1
B0000537ER,2010-08-12,1
B0000537ER,2011-07-17,1
B0000537ER,2011-08-31,1
B0000537ER,2012-07-06,1
B0000537ER,2013-01-17,1
B0000537ER,2013-04-14,1
B0000537ER,2014-02-01,1
B0000537ER,2014-04-10,1
B0000537ER,2014-09-19,1
B0000537ER,2014-12-16,1
B0000537ER,2015-03-26,1
B0000537ER,2015-05-14,1
B00005610Y,2005-04-07,1
B000056J8C,2005-04-07,1
B000056JHN,2005-04-07,1
B000056JHP,2005-04-07,1
B000056JKR,2005-04-07,1
B000056OUH,2005-04-07,1
B000056OWC,2005-04-07,1
B00005BPK8,2005-04-07,1
B00005C0KD,2009-09-03,1
B00005C0KD,2009-10-18,1
B00005C0KD,2010-10-11,1
B00005C0KD,2010-11-04,1
B00005C0KD,2010-12-18,1
B00005C0KD,2011-01-07,1
B00005C0KD,2011-07-08,1
B00005C0KD,2011-08-26,1
B00005C0KD,2011-09-21,1
B00005C0KD,2011-10-13,1
B00005C0KD,2011-12-04,1
B00005C0KD,2011-12-19,1
B00005C0KD,2011-12-22,1
B00005C0KD,2012-04-26,1
B00005C0KD,2012-06-04,1
B00005C0KD,2012-07-12,1
B00005C0KD,2012-07-24,1
B00005C0KD,2012-11-30,1
B00005C0KD,2012-12-08,1
B00005C0KD,2013-02-12,1
B00005C0KD,2013-03-23,1
B00005C0KD,2013-07-23,1
B00005C0KD,2013-09-02,1
B00005C0KD,2014-01-15,1
B00005C0KD,2014-01-21,1
B00005C0KD,2014-02-25,1
B00005C0KD,2014-04-20,1
B00005C0KD,2014-07-21,1
B00005C0KD,2014-08-13,1
B00005C0KD,2014-09-24,1
B00005C0KD,2014-10-22,1
B00005C0KD,2015-01-26,1
B00005C0KD,2015-04-05,1
B00005C0KD,2015-05-17,1
B00005C0KD,2015-08-21,1
B00005C0KD,2015-08-25,1
B00005C8C4,2005-04-07,1
B00005Q5DB,2005-04-08,1
B00005UC6D,2005-04-07,1
B00005YWN0,2005-04-07,1
B0000645DP,2005-04-07,1
B000066CMV,2005-04-07,1
B000067EH7,2005-04-07,3
B000069670,2005-04-07,1
B00006AKYN,2009-10-07,1
B00006AKYN,2010-08-25,1
B00006AKYN,2011-09-17,1
B00006AKYN,2012-10-02,1
B00006AKYN,2012-11-26,1
B00006AKYN,2012-12-02,1
B00006AKYN,2012-12-27,1
B00006AKYN,2013-01-14,1
B00006AKYN,2013-03-21,1
B00006AKYN,2013-04-05,1
B00006AKYN,2013-05-02,1
B00006AKYN,2013-05-09,1
B00006FWVR,2015-02-06,1
